ID_struk,ID_barang,nama_barang,jumlah_barang,harga_satuan,subtotal
12345,PEPSO,Pepsodent,10,1500,15000
12345,AQUA,Aqua Botol 1 Liter,1,5000,5000
12345,MIE_1,Indomi Goreng,5,2000,10000
12346,PEPSO,Pepsodent,10,1500,15000
12346,AQUA,Aqua Botol 1 Liter,1,5000,5000
12346,MIE_1,Indomi Goreng,5,2000,10000
12347,PEPSO,Pepsodent,10,1500,15000
12347,AQUA,Aqua Botol 1 Liter,1,5000,5000
12347,MIE_1,Indomi Goreng,5,2000,10000
77957,PEPSO,Pepsodent,12,15000,180000
10566,AQUA,Aqua Botol 1 Liter,1,5000,5000
10566,PEPSO,Pepsodent,10,1500,15000
10566,MIE_1,Indomie Goreng,5,2000,10000
56119,PEPSO,Pepsodent,10,1500,15000
56119,MIE_1,Indomie Goreng,5,2000,10000
64304,CADBURY150,Cadbury 150gr,20,15000,300000
64304,CADBURY150,Cadbury 150gr,20,15000,300000
64304,SILVERQUEEN150,Silverqueen 150gr,20,12000,240000
35980,PEPSO,Pepsodent,11,1500,16500
57185,PEPSO,Pepsodent,11,1500,16500
57185,AQUA,Aqua Botol 1 Liter,99,5000,495000
95720,PEPSO,Pepsodent,6,1500,9000
95720,AQUA,Aqua Botol 1 Liter,7,5000,35000
95720,MIE_1,Indomie Goreng,17,2000,34000
30143,AQUA,Aqua Botol 1 Liter,9,5000,45000
30143,PEPSO,Pepsodent,7,1500,10500
30143,CADBURY150,Cadbury 150gr,18,15000,270000
30143,SILVERQUEEN150,Silverqueen 150gr,8,12000,96000
